	English	Arabic	time/m.s
375	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
376	"“But he has been–been found. He is alive. Greatly changed, it is too probable; almost a wreck, it is possible; though we will hope the best. Still, alive. Your father has been taken to the house of an old servant in Paris, and we are going there: I, to identify him if I can: you, to restore him to life, love, duty, rest, comfort.”
"	"[{'translation_text': '""لكن تم العثور عليه، إنه حي، تغير تغيراً كبيراً، إنه محتمل جداً، تقريباً حطام، إنه ممكن، وإن كنا نأمل الأفضل. ومع ذلك، حياً. لقد أُخذ والدك إلى بيت عبد قديم في باريس، ونحن ذاهبون إلى هناك: أنا، للتعرف عليه إن كنت أستطيع: أنت، لتعيده إلى الحياة، الحب، الواجب، الراحة، الراحة، الراحة"".'}]"	2.62
377	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
378	"A shiver ran through her frame, and from it through his. She said, in a low, distinct, awe-stricken voice, as if she were saying it in a dream,
"	[{'translation_text': 'فركضت رعشة من داخلها ومنه من خلال لها. فقالت بصوت منخفض متميّز مرعوب كما لو كانت تقولها في حلم.'}]	0.93
379	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
380	"“I am going to see his Ghost! It will be his Ghost–not him!”
"	"[{'translation_text': '""أنا ذاهب لرؤية شبحه! سيكون شبحه ليس هو!""'}]"	0.56
381	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
382	"Mr. Lorry quietly chafed the hands that held his arm. “There, there, there! See now, see now! The best and the worst are known to you, now. You are well on your way to the poor wronged gentleman, and, with a fair sea voyage, and a fair land journey, you will be soon at his dear side.”
"	"[{'translation_text': 'السيد لوري صافح بكل هدوء الأيدي التي أمسكت بذراعه. ""هناك، هناك، هناك، هناك! انظر الآن! الأفضل والأسوأ معروفون لكم الآن. أنتم في طريقكم إلى الفقراء المظلومين، ومع رحلة بحرية عادلة، ورحلة برية عادلة، سوف تكونون قريباً إلى جانبه العزيز"".'}]"	2.05
383	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
384	"She repeated in the same tone, sunk to a whisper, “I have been free, I have been happy, yet his Ghost has never haunted me!”
"	"[{'translation_text': 'وكررت بنفس النغمة، وغرفت في همسة، ""لقد كنت حراً، وكنت سعيداً، ومع ذلك فإن شبحه لم يطاردني أبداً!""'}]"	1.18
385	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.3
386	"“Only one thing more,” said Mr. Lorry, laying stress upon it as a wholesome means of enforcing her attention: “he has been found under another name; his own, long forgotten or long concealed. It would be worse than useless now to inquire which; worse than useless to seek to know whether he has been for years overlooked, or always designedly held prisoner. It would be worse than useless now to make any inquiries, because it would be dangerous. Better not to mention the subject, anywhere or in any way, and to remove him–for a while at all events– out of France. Even I, safe as an Englishman, and even Tellson’s, important as they are to French credit, avoid all naming of the matter. I carry about me, not a scrap of writing openly referring to it. This is a secret service altogether. My credentials, entries, and memoranda, are all comprehended in the one line, `Recalled to Life;’ which may mean anything. But what is the matter! She doesn’t notice a word! Miss Manette!”
"	"[{'translation_text': '""فقط شيء واحد أكثر من ذلك""، قال السيد لوري، مشدداً على ذلك باعتباره وسيلة سليمة لجذب انتباهها: ""لقد وُجد تحت اسم آخر؛ وقد وُجد تحت اسم آخر؛ أو وُجد لفترة طويلة؛ أو خُفي لفترة طويلة؛ وسيكون من الأسوأ من غير المجدي الآن أن نستفسر عن أيهما؛ أسوأ من عديم الفائدة أن نبحث عن معرفة ما إذا كان قد أُغفل لسنوات، أو كان دائماً سجيناً مصمماً، وسيكون أسوأ من عديم الفائدة الآن أن نجري أي استفسارات، لأنها ستكون خطيرة، ومن الأفضل ألا نذكر الموضوع، في أي مكان أو بأي شكل من الأشكال، وأن نزيله - لفترة من الوقت في جميع الأحداث - خارج فرنسا. وحتى أنا، بأمان كإنجليزي، وحتى لتيلسون، مهم كما هو الحال بالنسبة للائتمان الفرنسي، أتجنب كل تسمية للمسألة، وأحمل عني، وليس كتفاً للكتابة تشير إليه صراحة، وهذه خدمة سرية تماماً، وكل وثائقي، ومداخلي، ومذكراتي، مفهومة في السطر الأول، `تدعي إلى الحياة؛ التي قد تعني أي شيء. ولكن ما هي المسألة؛ وهي لا تلاحظ كلمة! آنسة مانيت!"""".'}]"	9.06
387	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.24
388	"Perfectly still and silent, and not even fallen back in her chair, she sat under his hand, utterly insensible; with her eyes open and fixed upon him, and with that last expression looking as if it were carved or branded into her forehead. So close was her hold upon his arm, that he feared to detach himself lest he should hurt her; therefore he called out loudly for assistance without moving.
"	[{'translation_text': 'وبكامل الثبات والصمت ولم تتراجع على كرسيها جلست تحت يده غير مفهومة تماما. بعينيها مفتوحتين وثابتتين عليه وبتلك العبارة الاخيرة كما لو كانت محفورة او موصومة في جبهتها. هكذا اقتربت امسكت ذراعه حتى خاف ان يفرز نفسه لئلا يؤذيها. لذلك نادى بصوت عال للمساعدة دون ان يتحرك.'}]	2.22
389	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
390	"A wild-looking woman, whom even in his agitation, Mr. Lorry observed to be all of a red colour, and to have red hair, and to be dressed in some extraordinary tight-fitting fashion, and to have on her head a most wonderful bonnet like a Grenadier wooden measure, and good measure too, or a great Stilton cheese, came running into the room in advance of the inn servants, and soon settled the question of his detachment from the poor young lady, by laying a brawny hand upon his chest, and sending him flying back against the nearest wall.
"	[{'translation_text': 'امرأة متوحشة، لاحظ السيد لوري، حتى في حيرته، أن لونها أحمر، وأن شعرها أحمر، وأن تلبس بطريقة ضيقة وملائمة بشكل استثنائي، وأن يكون على رأسها غطاء أجمل مثل قياس خشبي من نوع غنادير، ومقياس جيد أيضا، أو جبنة ستيلتون كبيرة، جاء مركضا إلى الغرفة قبل خدم النزل، وسرعان ما حسم مسألة فصله عن السيدة الصغيرة الفقيرة، بوضع يد عضلية على صدره، وإرساله عائدا إلى الخلف متوجها إلى أقرب الجدار.'}]	3.32
391	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
392	"(“I really think this must be a man!” was Mr. Lorry’s breathless reflection, simultaneously with his coming against the wall.)
"	"[{'translation_text': '(""أعتقد حقاً أن هذا يجب أن يكون رجلاً!"") كان إنعكاس السيد لوري الذي لا أنفاس له، بالتزامن مع مواجهته للجدار).'}]"	1.1
393	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
394	"“Why, look at you all!” bawled this figure, addressing the inn servants. “Why don’t you go and fetch things, instead of standing there staring at me? I am not so much to look at, am I? Why don’t you go and fetch things? I’ll let you know, if you don’t bring smelling-salts, cold water, and vinegar, quick, I will.”
"	"[{'translation_text': '""لماذا تنظرون إلى أنفسكم جميعاً؟"" هذا الرقم الذي خاطب خدم النزل. ""لماذا لا تذهبون وتجلبون الأشياء، بدلاً من الوقوف هناك تحدقون بي؟ إنني لا أنظر إليكم كثيراً، أليس كذلك؟ لماذا لا تذهبون وتجلبون الأشياء؟ سأعلمكم، إذا لم تجلبوا المناديل الشمية، والمياه الباردة، والخل، بسرعة، سأفعل"".'}]"	2.81
395	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.26
396	"There was an immediate dispersal for these restoratives, and she softly laid the patient on a sofa, and tended her with great skill and gentleness: calling her “my precious!” and “my bird!” and spreading her golden hair aside over her shoulders with great pride and care.
"	[{'translation_text': 'وكان هناك انتشار فوري لهذه الترميمات، ووضعت المريضة بلطف على أريكة، ورعتها بمهارة ولطف كبيرين: نعتها بـ ”قيمتي“ و ”طيري“ ونشر شعرها الذهبي على كتفيها بفخر ورعاية كبيرين.'}]	1.77
397	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
398	"“And you in brown!” she said, indignantly turning to Mr. Lorry; “couldn’t you tell her what you had to tell her, without frightening her to death? Look at her, with her pretty pale face and her cold hands. Do you call THAT being a Banker?”
"	"[{'translation_text': 'قالت: ""وأنت في البني!"" تلتفت بغتة إلى السيد لوري: ""ألا تستطيع أن تخبرها بما كان عليك أن تخبرها به، دون أن تخيفها حتى الموت؟ انظر إليها، بوجهها الشاحب الجميل ويديها الباردة. هل تسميها بانكر؟""'}]"	2.01
399	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
400	"Mr. Lorry was so exceedingly disconcerted by a question so hard to answer, that he could only look on, at a distance, with much feebler sympathy and humility, while the strong woman, having banished the inn servants under the mysterious penalty of “letting them know” something not mentioned if they stayed there, staring, recovered her charge by a regular series of gradations, and coaxed her to lay her drooping head upon her shoulder.
"	"[{'translation_text': 'وكان السيد لوري منزعجاً جداً جداً من سؤال يصعب الإجابة عليه، لدرجة أنه لم يستطع سوى النظر إليه، من مسافة بعيدة، مع تعاطف وتواضع أكثر تهاوناً، في حين أن المرأة القوية، بعد أن نفت خدم النزل تحت العقوبة الغامضة المتمثلة في ""إعلامهم"" بشيء لم يذكر إذا بقوا هناك، وحدقوا، واستردوا تهمتها بسلسلة منتظمة من التصفيات، وحثوها على وضع رأسها المتدحرج على كتفها.'}]"	3.08
401	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
402	"“I hope she will do well now,” said Mr. Lorry.
"	"[{'translation_text': 'وقال السيد لوري: ""آمل أن تفعل خيراً الآن"".'}]"	0.48
403	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
404	"“No thanks to you in brown, if she does. My darling pretty!”
"	"[{'translation_text': '""لا شكر لك باللون البني، إن فعلت ذلك، يا عزيزتي الجميلة!""'}]"	0.58
405	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
406	"“I hope,” said Mr. Lorry, after another pause of feeble sympathy and humility, “that you accompany Miss Manette to France?”
"	"[{'translation_text': '""آمل،"" قال السيد لوري، بعد توقف آخر من التعاطف والتواضع الهزيلين، ""أن ترافق الآنسة مانيت إلى فرنسا؟""'}]"	0.97
407	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
408	"“A likely thing, too!” replied the strong woman. “If it was ever intended that I should go across salt water, do you suppose Providence would have cast my lot in an island?”
"	"[{'translation_text': 'فأجابت المرأة القوية: ""إذا كان من المقصود من أي وقت مضى أن أذهب عبر المياه المالحة، هل تفترض أن بروفيدنس كان سيلقي بقوتي في جزيرة ما؟"".'}]"	1.12
409	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.23
410	"This being another question hard to answer, Mr. Jarvis Lorry withdrew to consider it.
"	[{'translation_text': 'ولما كان هذا السؤال آخر يصعب الإجابة عليه، فقد انسحب السيد جارفيس لوري للنظر فيه.'}]	0.56
411	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.24
412	"V
"	[{'translation_text': 'الخامسة'}]	0.27
413	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
414	"The Wine-shop
"	[{'translation_text': 'العارضة في محلات النبيذ'}]	0.36
415	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
416	"A large cask of wine had been dropped and broken, in the street. The accident had happened in getting it out of a cart; the cask had tumbled out with a run, the hoops had burst, and it lay on the stones just outside the door of the wine-shop, shattered like a walnut-shell.
"	[{'translation_text': 'وكان قد تم إسقاط وكسر قارورة كبيرة من النبيذ، في الشارع. وكان الحادث قد حدث في إخراجه من عربة؛ وسقطت قارورة مع الركض، وانفجرت الأطواق، ووضعت على الأحجار خارج باب محل بيع النبيذ مباشرة، وتحطمت مثل قشرة الجوز.'}]	2.03
417	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
418	"All the people within reach had suspended their business, or their idleness, to run to the spot and drink the wine. The rough, irregular stones of the street, pointing every way, and designed, one might have thought, expressly to lame all living creatures that approached them, had dammed it into little pools; these were surrounded, each by its own jostling group or crowd, according to its size. Some men kneeled down, made scoops of their two hands joined, and sipped, or tried to help women, who bent over their shoulders, to sip, before the wine had all run out between their fingers. Others, men and women, dipped in the puddles with little mugs of mutilated earthenware, or even with handkerchiefs from women’s heads, which were squeezed dry into infants’ mouths; others made small mud- embankments, to stem the wine as it ran; others, directed by lookers-on up at high windows, darted here and there, to cut off little streams of wine that started away in new directions; others devoted themselves to the sodden and lee-dyed pieces of the cask, licking, and even champing the moister wine-rotted fragments with eager relish. There was no drainage to carry off the wine, and not only did it all get taken up, but so much mud got taken up along with it, that there might have been a scavenger in the street, if anybody acquainted with it could have believed in such a miraculous presence.
"	[{'translation_text': 'وقد عل َّق جميع الأشخاص الموجودين في متناول اليد أعمالهم، أو عطلهم، ليركضوا إلى مكانهم ويشربوا النبيذ. فالحجارة القاسية غير النظامية من الشارع، التي تشير إلى كل الطرق، والمصممة، ربما يكون المرء قد فكر، صراحة، في جميع العواطف التي تُعج ِّب بها كل المخلوقات الحية التي اقتربت منها، قد سدها في أحواض صغيرة؛ وهذه كانت محاطة بكل منها، حسب حجمها، بمجموعة أو حشوة خاصة بها، وكان بعض الرجال يركعون، ويصنعون مجارف من يديهما، ويلتصقون، ويقطعون، أو يحاولون مساعدة النساء، الذين ينحنون على أكتافهم، على رشف، قبل أن ينفجر كل شيء بين أصابعهن. وكان آخرون، رجال ونساء، يغطسون في البركة بوجات صغيرة من سلحف الأرض المشوهة، أو حتى بأوراق اليد من رؤوس النساء، التي كانت تجف في أفوام الرضع؛ وقام آخرون بصنع لطخات صغيرة، أو قذفوا النبيذ كما كان يجري؛ وآخرون، يوجههم المنظرون نحو النوافذ العالية، التي رُسمت هنا وهناك، أو هناك، لقطعوا جداول صغيرة من النبيذ التي بدأت في اتجاهات جديدة؛ وآخرون آخرون كرسوا أنفسهم إلى أفوا في أفوا الطين، وكانوا في ذلك قد أخذوا الكثيرامامامامامامامامامامام منه منه منه.'}]	18.42
419	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.24
420	"A shrill sound of laughter and of amused voices–voices of men, women, and children–resounded in the street while this wine game lasted. There was little roughness in the sport, and much playfulness. There was a special companionship in it, an observable inclination on the part of every one to join some other one, which led, especially among the luckier or lighter-hearted, to frolicsome embraces, drinking of healths, shaking of hands, and even joining of hands and dancing, a dozen together. When the wine was gone, and the places where it had been most abundant were raked into a gridiron-pattern by fingers, these demonstrations ceased, as suddenly as they had broken out. The man who had left his saw sticking in the firewood he was cutting, set it in motion again; the women who had left on a door-step the little pot of hot ashes, at which she had been trying to soften the pain in her own starved fingers and toes, or in those of her child, returned to it; men with bare arms, matted locks, and cadaverous faces, who had emerged into the winter light from cellars, moved away, to descend again; and a gloom gathered on the scene that appeared more natural to it than sunshine.
"	[{'translation_text': 'كان هناك صوت مهبل من الضحك والأصوات - صوت الرجال والنساء والأطفال - صوت - صوت الرجال بينما كانت هذه اللعبة جارية. كان هناك قليل من الخشونة في الرياضة والكثير من اللعوب. كان هناك رفقة خاصة فيها، ميل ملحوظ من كل واحد إلى الانضمام إلى واحد آخر، مما أدى، خاصة بين المحظوظين أو مناصفة القلب، إلى المعانقات المهتاجة، شرب الصح، مصافحة الأيدي، وحتى ضم الأيدي والرقص،'}]	10.38
421	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
422	"The wine was red wine, and had stained the ground of the narrow street in the suburb of Saint Antoine, in Paris, where it was spilled. It had stained many hands, too, and many faces, and many naked feet, and many wooden shoes. The hands of the man who sawed the wood, left red marks on the billets; and the forehead of the woman who nursed her baby, was stained with the stain of the old rag she wound about her head again. Those who had been greedy with the staves of the cask, had acquired a tigerish smear about the mouth; and one tall joker so besmirched, his head more out of a long squalid bag of a nightcap than in it, scrawled upon a wall with his finger dipped in muddy wine-lees–BLOOD.
"	[{'translation_text': 'كان الخمر خمرا احمرا ولطخ ارض الشارع الضيق في ضاحية القديس انطوان في باريس حيث سُكب. كان قد لطخ كثيرا من الأيدي ايضا ووجوه كثيرة وارجلا عارية وكثيرا من احذية خشبية. ايدي الرجل الذي رأى الخشب تركت علامات حمراء على الفطيرة وجبهة المرأة التي رضعت طفلها ملطخة بلطخة الخرقة القديمة التي جرحت من رأسها مرة أخرى. الذين جشعوا بعضلات القارورة اكتسبوا مسحة نمرية عن الفم وطرح احد النكّاحين الطويل القامين على فمه من كيس طويل طويل من كؤوس الليل اكثر منه فيه ملطخا على سور اصبعه ممتد في اصبعه في خمور طينة.'}]	5.45
423	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
424	"The time was to come, when that wine too would be spilled on the street-stones, and when the stain of it would be red upon many there.
"	[{'translation_text': 'كان الوقت قد حان، عندما ذلك النبيذ أيضاً سيسكب على حجارة الشوارع، وعندما تكون لطخته حمراء على الكثيرين هناك.'}]	0.97
425	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
426	"And now that the cloud settled on Saint Antoine, which a momentary gleam had driven from his sacred countenance, the darkness of it was heavy-cold, dirt, sickness, ignorance, and want, were the lords in waiting on the saintly presence-nobles of great power all of them; but, most especially the last. Samples of a people that had undergone a terrible grinding and regrinding in the mill, and certainly not in the fabulous mill which ground old people young, shivered at every corner, passed in and out at every doorway, looked from every window, fluttered in every vestige of a garment that the wind shook. The mill which had worked them down, was the mill that grinds young people old; the children had ancient faces and grave voices; and upon them, and upon the grown faces, and ploughed into every furrow of age and coming up afresh, was the sigh, Hunger. It was prevalent everywhere. Hunger was pushed out of the tall houses, in the wretched clothing that hung upon poles and lines; Hunger was patched into them with straw and rag and wood and paper; Hunger was repeated in every fragment of the small modicum of firewood that the man sawed off; Hunger stared down from the smokeless chimneys, and started up from the filthy street that had no offal, among its refuse, of anything to eat. Hunger was the inscription on the baker’s shelves, written in every small loaf of his scanty stock of bad bread; at the sausage-shop, in every dead-dog preparation that was offered for sale. Hunger rattled its dry bones among the roasting chestnuts in the turned cylinder; Hunger was shred into atomics in every farthing porringer of husky chips of potato, fried with some reluctant drops of oil.
"	[{'translation_text': 'والآن بعد أن استقرت على سانت أنطوان، الذي كان قد خرج منه بصيص من لحظة، ظلامه كان من النوع الثقيل، والأوسس، والمرض، والجهل، والحاجات، والحاجات، واللوردان في انتظار ما هو عليه، من حيث وجوده، ومنه دخان مرفأ من قوة عظمى كلها، ولكن، على وجه الخصوص آخرها. وكانت عينات من شعب كان قد تعرض لرهيب في الطاحونة، ومن ثم لم يكن في الطاحونة، ومن المؤكد أنه لم يكن في الطاحونة، وكان لدى الأطفال وجوها قديمة وأصواتا خطيرة؛ وعلى هؤلاء الأطفال، وعلى الوجوه الناضجين، وعلى كل من كتبوا من أجلهم، ومن ثم كتبوا من أجلهم، ومن ثم كتبوا وخرجوا من كل باب، ودرسوا من كل نوافذ، ومن كل نوافذ، ورشة صغيرة في كل رقعة من قوة كبيرة من كل منها؛ ولكن الطاحونة التي كانت موجودة في كل مكان، وكان الجوع يطرد من البيوت الطويلة، في الملابس الرديئة التي كان عليها الشباب؛ وكان للأطفال وجوههم القديمة وأصواتهم، وعلىهم، وعلى الوجوه الناضجة، وحوه، وحوه، وحوته في كل ما كتب منه، ومن كل شيء، ومن كل شيء، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، كان، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه كان، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه، ومنه'}]	19.93
427	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.25
428	"Its abiding place was in all things fitted to it. A narrow winding street, full of offence and stench, with other narrow winding streets diverging, all peopled by rags and nightcaps, and all smelling of rags and nightcaps, and all visible things with a brooding look upon them that looked ill. In the hunted air of the people there was yet some wild-beast thought of the possibility of turning at bay. Depressed and slinking though they were, eyes of fire were not wanting among them; nor compressed lips, white with what they suppressed; nor foreheads knitted into the likeness of the gallows-rope they mused about enduring, or inflicting. The trade signs (and they were almost as many as the shops) were, all, grim illustrations of Want. The butcher and the porkman painted up, only the leanest scrags of meat; the baker, the coarsest of meagre loaves. The people rudely pictured as drinking in the wine-shops, croaked over their scanty measures of thin wine and beer, and were gloweringly confidential together. Nothing was represented in a flourishing condition, save tools and weapons; but, the cutler’s knives and axes were sharp and bright, the smith’s hammers were heavy, and the gunmaker’s stock was murderous. The crippling stones of the pavement, with their many little reservoirs of mud and water, had no footways, but broke off abruptly at the doors. The kennel, to make amends, ran down the middle of the street–when it ran at all: which was only after heavy rains, and then it ran, by many eccentric fits, into the houses. Across the streets, at wide intervals, one clumsy lamp was slung by a rope and pulley; at night, when the lamplighter had let these down, and lighted, and hoisted them again, a feeble grove of dim wicks swung in a sickly manner overhead, as if they were at sea. Indeed they were at sea, and the ship and crew were in peril of tempest.
"	[{'translation_text': 'وفيما يلي بعض العلامات التجارية (وكانوا تقريبا مثلها مثلها مثل المحلات) كانت كلها، وصورا مشحونة للحاجات، وكان الجزار ولحم الخنزير مطرا في أسفلها لم يكنا كذلك، بل كانا قد أغرقا، وكانا قد أغرقا فقط، وكانا قد أغرقا، وكانا قد أغرقا، وكانا كذلك، وكانا كذلك، وكانا كذلك، وكانا كذلك كانا، وكانا كذلك، وكانا كذلك، كانا، وكانا، وكانا كذلك، كانا، وكانا، إذ كانا، كانا، كانا، وكانا، وكانا، كانا، وكانا، وكانا، كانا، وكانا، وكانا، كانا، وكانا، وكانا، وكانا، وكانا، وكانا، كانا، وكانا، وكانا، لم يكنا، ولم يكنا، ولم يكنا، بل كانا، كانا، كانا، كانا، كانا، كانا، كانا، كانا، كانا، كانا، كانا، كانا، كانا، كانا، من قبلهما، من قبلهما، من قبلهما، من قبلهما، من قبلهما، من قبلهما، من قبلهما، من كانا، من قبلا، من قبلهما، من قبلا، من أجلا، من أجلا، من أجلا، وكانا من أجلهما من أجلهما من أجلهما من أجلهما من أجلهما من أجلهما، من أجلهما كانا من أجلهما كانا من أجلهما كانا قد أشغالهما.'}]	20.51
429	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
430	"For, the time was to come, when the gaunt scarecrows of that region should have watched the lamplighter, in their idleness and hunger, so long, as to conceive the idea of improving on his method, and hauling up men by those ropes and pulleys, to flare upon the darkness of their condition. But, the time was not come yet; and every wind that blew over France shook the rags of the scarecrows in vain, for the birds, fine of song and feather, took no warning.
"	[{'translation_text': 'لانه كان الوقت قد حان حين كانت فواكه تلك المنطقة تراقب المصباح في خمولها وجوعها الى حد ان تتصور فكرة التحسن في طريقته وتسحب الناس بتلك الحبال والبكرات لتشعل على ظلام حالتهم. ولكن لم يكن الوقت قد حان بعد. وكل رياح تهب على فرنسا تهز خزائن الفرسان بالباطل. للطيور وغرامة الغناء والريش لم تأخذ تحذيرا.'}]	3.13
431	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
432	"The wine-shop was a corner shop, better than most others in its appearance and degree, and the master of the wine-shop had stood outside it, in a yellow waistcoat and green breeches, looking on at the struggle for the lost wine. “It’s not my affair,” said he, with a final shrug of the shoulders. “The people from the market did it. Let them bring another.”
"	"[{'translation_text': 'لقد كان محل بيع النبيذ محلاً للزاوية، أفضل من معظم المحلات الأخرى في مظهره ودرجته، وكان سيد محل بيع النبيذ قد وقف خارجه، في معطف أصفر وحذاء أخضر، وهو ينظر إلى الكفاح من أجل النبيذ المفقود. وقال ""ليست هذه هي شأني،"" إنه كان يقف خارجه، وكان السيد محل بيع النبيذ واقفاً خارجه، في معطف أصفر وحذاء أخضر، متطلعاً إلى الكفاح من أجل النبيذ المفقود. وقال ""إن الأمر ليس متعلقاً بي،"" مع مهزلة أخيرة من كتفيه. ""إن الناس من السوق فعلوا ذلك، فدعوهم يحضرون كأساً آخر"".'}]"	4.31
433	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
434	"There, his eyes happening to catch the tall joker writing up his joke, he called to him across the way:
"	[{'translation_text': 'هناك، عيناه تَحْدثُ لمَسْك النكتِ الطويلِ يَكْتبُ نكتَه، دَعا إليه عبر الطريقِ:'}]	1.27
435	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
436	"“Say, then, my Gaspard, what do you do there?”
"	"[{'translation_text': '""إذاً، قل يا (غاسبارد)، ماذا تفعل هناك؟""'}]"	0.53
437	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
438	"The fellow pointed to his joke with immense significance, as is often the way with his tribe. It missed its mark, and completely failed, as is often the way with his tribe too.
"	[{'translation_text': 'فَقَدْ أَفْقَدَ ٱلْمَسِيحِيُّونَ ٱلْمَسِيحِيُّونَ ٱلْمَسِيحِيُّونَ ٱلْمَسِيحِيُّونَ أَنْ يَتَعَلَّمُوا مِنَ ٱلْمَسِيحِيِّينَ ٱلْمَسِيحِيِّينَ ٱلْمَسِيحِيِّينَ ٱلْمَسِيحِيِّينَ ٱلْمَسِيحِيِّينَ ٱلْمَسِيحِيِّينَ .'}]	5.07
439	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
440	"“What now? Are you a subject for the mad hospital?” said the wine-shop keeper, crossing the road, and obliterating the jest with a handful of mud, picked up for the purpose, and smeared over it. “Why do you write in the public streets? Is there–tell me thou–is there no other place to write such words in?”
"	"[{'translation_text': '""ماذا الآن؟ هل أنت موضوع لمستشفى المجانين؟"" قال حارس محلات النبيذ، الذي يعبر الطريق، ويطمس المزاح بحفنة من الطين، التقطت لهذا الغرض، ولطخت به. ""لماذا تكتب في الشوارع العامة؟ هل هناك -- هل هناك -- قل لي هل هناك أي مكان آخر لكتابة مثل هذه الكلمات في؟""'}]"	2.51
441	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.28
442	"In his expostulation he dropped his cleaner hand (perhaps accidentally, perhaps not) upon the joker’s heart. The joker rapped it with his own, took a nimble spring upward, and came down in a fantastic dancing attitude, with one of his stained shoes jerked off his foot into his hand, and held out. A joker of an extremely, not to say wolfishly practical character, he looked, under those circumstances.
"	[{'translation_text': 'في ترجيحه، أسقط يده المنظفة (ربما بالصدفة، ربما لا) على قلب المهرج. فقد نسفها المهرج بقلبه، وأخذ ينبضًا سريعًا إلى الأعلى، ونزل في موقف رقص رائع، مع أحد حذائه الملطّخ كان يرتجف من قدمه في يده، وتمسك بها. وفي ظل هذه الظروف نظر مهرّج بالغ الأهمية، ناهيك عن شخصية عملية مذعورة، نظر في ظل هذه الظروف.'}]	3.06
443	"
"	[{'translation_text': 'ألف - الوظائف الممولة من الميزانية العادية'}]	0.27
